@RELATION movies

@ATTRIBUTE director_facebook_likes 	{Low,Average,High}
@ATTRIBUTE highest_actor_rating 	{A,B,C,D,F}}
@ATTRIBUTE genre	{Sci-Fi,Action,Animation,Family,Documentary,Romance,Comedy,Drama,Horror,Thriller}
@ATTRIBUTE num_voted_users 	{Low,Average,High}
@ATTRIBUTE content_rating 	{Approved,G,NC-17,PG,PG-13,R,Unrated}
@ATTRIBUTE budget 	{Low,Medium,High}
@ATTRIBUTE imdb_score	{Excellent,Good,Above_Average,Average,Below_Average,Poor,Awful}

@DATA
Low,F,Sci-Fi,High,PG-13,High,Above_Average
Average,A,Romance,High,PG-13,High,Above_Average
High,B,Thriller,High,PG-13,High,Good
Average,F,Sci-Fi,High,PG-13,High,Average
Low,B,Romance,High,PG-13,High,Average
Low,F,Animation,High,PG,High,Above_Average
Low,B,Sci-Fi,High,PG-13,High,Above_Average
Low,D,Sci-Fi,High,PG-13,High,Average
Low,C,Sci-Fi,High,PG-13,High,Average
Average,A,Romance,High,PG-13,High,Above_Average
Average,A,Action,High,PG-13,High,Average
Low,D,Sci-Fi,High,PG-13,High,Above_Average
Low,C,Family,High,PG,High,Average
Low,B,Sci-Fi,High,PG-13,High,Good
Low,A,Romance,High,PG-13,High,Average
Low,D,Family,High,PG-13,High,Average
Average,D,Romance,High,PG-13,High,Above_Average
Low,F,Drama,High,PG-13,High,Average
Low,F,Romance,High,PG-13,High,Above_Average
Low,C,Family,High,PG-13,High,Average
Low,B,Romance,High,PG-13,High,Above_Average
Low,C,Sci-Fi,High,PG-13,High,Good
Average,D,Sci-Fi,High,PG-13,High,Below_Average
Average,F,Sci-Fi,High,PG-13,High,Above_Average
Low,B,Romance,High,PG-13,High,Above_Average
Average,C,Sci-Fi,High,PG-13,High,Above_Average
High,A,Family,High,PG,High,Average
Low,D,Animation,High,G,High,Above_Average
Low,F,Sci-Fi,High,PG-13,High,Average
Low,F,Sci-Fi,High,PG-13,High,Below_Average
Low,A,Family,High,PG,High,Average
Average,D,Sci-Fi,High,PG-13,High,Average
Average,D,Sci-Fi,High,PG,High,Average
Average,F,Animation,High,G,High,Average
Low,C,Sci-Fi,High,PG-13,High,Below_Average
Low,D,Animation,High,G,High,Good
Average,C,Sci-Fi,High,PG-13,High,Average
Low,B,Thriller,High,PG-13,High,Above_Average
Average,C,Horror,High,PG-13,High,Above_Average
Low,A,Sci-Fi,High,PG-13,High,Good
High,C,Sci-Fi,High,PG-13,High,Above_Average
Low,F,Romance,High,PG-13,High,Average
Low,D,Romance,High,PG-13,High,Average
Low,C,Sci-Fi,High,PG-13,High,Above_Average
Low,F,Sci-Fi,High,PG-13,High,Average
High,D,Romance,High,PG-13,High,Average
Low,F,Animation,High,PG,High,Above_Average
Average,F,Sci-Fi,Average,PG-13,High,Above_Average
Average,F,Animation,High,G,High,Good
Average,F,Thriller,High,PG-13,High,Average
Average,F,Sci-Fi,High,PG-13,High,Below_Average
Low,C,Animation,Average,PG,High,Average
Low,C,Sci-Fi,High,PG-13,High,Below_Average
Low,D,Romance,Average,PG-13,High,Average
Low,F,Family,High,PG,High,Average
Low,A,Sci-Fi,High,PG-13,High,Above_Average
High,C,Thriller,High,PG-13,High,Excellent
Low,F,Animation,High,PG,High,Good
Low,F,Animation,High,PG,High,Average
High,C,Sci-Fi,High,PG-13,High,Above_Average
High,C,Family,High,PG,High,Above_Average
Low,D,Action,High,PG-13,High,Poor
Average,F,Horror,High,PG-13,High,Below_Average
Average,D,Sci-Fi,High,PG-13,High,Average
Low,A,Family,High,PG,High,Below_Average
Low,D,Sci-Fi,High,PG-13,High,Above_Average
Low,F,Sci-Fi,High,PG-13,High,Average
Low,C,Sci-Fi,High,PG-13,High,Below_Average
Low,F,Animation,High,PG,High,Good
High,C,Sci-Fi,High,PG-13,High,Above_Average
Low,B,Romance,High,PG-13,High,Average
Low,D,Family,High,PG,High,Above_Average
Low,D,Sci-Fi,High,PG-13,High,Above_Average
Low,C,Romance,High,PG-13,High,Average
Low,C,Sci-Fi,High,PG-13,High,Above_Average
Low,F,Animation,High,PG,High,Average
Average,F,Family,High,PG,High,Average
Low,F,Animation,High,PG,High,Above_Average
Low,F,Animation,High,PG,High,Above_Average
Low,D,Animation,High,G,High,Average
Average,F,Sci-Fi,Average,PG-13,High,Below_Average
Low,C,Animation,High,PG,High,Good
Low,F,Sci-Fi,High,R,High,Average
Average,D,Sci-Fi,High,PG-13,High,Good
High,D,Sci-Fi,High,PG-13,High,Good
High,B,Sci-Fi,High,PG-13,High,Good
Low,F,Romance,High,PG-13,High,Above_Average
Average,C,Thriller,High,PG-13,High,Average
High,D,Romance,High,PG-13,High,Above_Average
Average,A,Sci-Fi,High,PG-13,High,Above_Average
Average,A,Sci-Fi,High,PG-13,High,Average
Low,D,Family,High,PG,High,Average
Low,A,Thriller,High,PG-13,High,Below_Average
Low,A,Family,Average,PG,High,Average
Low,F,Animation,High,PG,High,Average
Low,F,Romance,High,PG-13,High,Above_Average
Low,B,Sci-Fi,High,PG-13,High,Average
Low,F,Family,High,PG,High,Average
Low,F,Action,High,PG-13,High,Average
Low,F,Sci-Fi,High,PG-13,High,Above_Average
Average,D,Drama,High,PG-13,High,Average
Average,D,Horror,High,PG-13,High,Above_Average
High,A,Family,High,PG,High,Average
Average,F,Animation,High,G,High,Good
High,C,Action,High,PG-13,High,Good
Low,F,Animation,High,PG,High,Average
Low,A,Family,High,PG,High,Below_Average
Low,C,Sci-Fi,High,PG-13,High,Average
Low,F,Animation,High,PG,High,Above_Average
Low,F,Sci-Fi,High,R,High,Above_Average
Low,B,Romance,High,PG-13,High,Above_Average
High,D,Thriller,High,PG-13,High,Average
Low,B,Romance,High,PG-13,High,Above_Average
Low,C,Animation,High,PG,High,Average
Low,F,Animation,Average,PG,High,Below_Average
Average,D,Romance,High,PG-13,High,Below_Average
High,A,Horror,High,PG-13,High,Average
Average,D,Horror,High,R,High,Below_Average
Low,D,Romance,Average,PG-13,High,Average
Low,F,Animation,High,PG,High,Average
Low,D,Animation,High,PG,High,Above_Average
Low,F,Family,High,PG,High,Poor
High,C,Thriller,High,PG-13,High,Average
Average,C,Thriller,High,PG-13,High,Average
Low,F,Animation,Low,PG,High,Below_Average
Average,C,Family,Average,PG,High,Below_Average
Low,F,Animation,Average,PG,High,Average
Low,D,Action,High,R,High,Above_Average
Low,F,Animation,High,PG,High,Average
Low,F,Sci-Fi,Average,PG-13,High,Below_Average
Low,D,Sci-Fi,High,PG-13,High,Average
Low,D,Family,High,PG-13,High,Average
Low,C,Animation,High,PG-13,High,Average
Low,B,Animation,Average,PG,High,Above_Average
Average,D,Thriller,High,PG-13,High,Above_Average
Low,C,Animation,High,PG,High,Above_Average
Low,F,Comedy,High,PG-13,High,Average
Average,D,Action,High,R,High,Above_Average
High,B,Sci-Fi,High,PG-13,High,Good
